planner_backbone,run,plan,n_steps,tissue_segmentation_and_classification,cell_segmentation_and_classification,invokes_model_to_classify_tumour,invokes_model_to_classify_lymph_node,classification_classes,error
GPT-4o,5,NucleiSeg:StarDist → NucleiClassify:NuClass → CodingAgent:GPT-4o Agent,3,0,1,1,0,"classes=Tumor, Negative control",
GPT-4o,6,NucleiSeg:StarDist → NucleiClassify:NuClass → CodingAgent:GPT-4o Agent,3,0,1,0,0,,
GPT-4o,7,NucleiSeg:StarDist → NucleiClassify:NuClass → CodingAgent:GPT-4o Agent,3,0,1,1,1,"classes=Tumor, Lymphocyte, Negative control",
GPT-4o,8,TissueSeg:MuskEmbedding → TissueClassify:MuskClassification → CodingAgent:GPT-4o Agent,3,1,0,1,1,"classes=Lymph node, Tumor, Negative control",
GPT-4o,9,NucleiSeg:StarDist → NucleiClassify:NuClass → CodingAgent:GPT-4o Agent,3,0,1,1,0,"classes=Tumor, Negative control",
GPT-4o,10,NucleiSeg:StarDist → NucleiClassify:NuClass → CodingAgent:GPT-4o Agent,3,0,1,1,0,"classes=Tumor, Negative control",
GPT-4o,11,NucleiSeg:StarDist → NucleiClassify:NuClass → CodingAgent:GPT-4o Agent,3,0,1,1,0,"classes=Tumor, Negative control",
GPT-4o,12,NucleiSeg:StarDist → NucleiClassify:NuClass → CodingAgent:GPT-4o Agent,3,0,1,1,0,"classes=Tumor, Negative control",
GPT-4o,13,NucleiSeg:StarDist → NucleiClassify:NuClass → CodingAgent:GPT-4o Agent,3,0,1,1,0,"classes=Tumor, Negative control",
GPT-4o,14,NucleiSeg:StarDist → NucleiClassify:NuClass → CodingAgent:GPT-4o Agent,3,0,1,1,0,"classes=Tumor, Negative control",
GPT-4o,15,NucleiSeg:StarDist → NucleiClassify:NuClass → CodingAgent:GPT-4o Agent,3,0,1,1,0,"classes=Tumor, Negative control",
GPT-4o,16,NucleiSeg:InstanSegNode → NucleiClassify:NuClass → CodingAgent:GPT-4o Agent,3,0,1,1,0,"classes=Tumor, Negative control",
GPT-4o,17,NucleiSeg:StarDist → NucleiClassify:NuClass → CodingAgent:GPT-4o Agent,3,0,1,1,0,"classes=Tumor, Negative control",
GPT-4o,18,NucleiSeg:StarDist → NucleiClassify:NuClass → CodingAgent:GPT-4o Agent,3,0,1,1,0,"classes=Tumor, Negative control",
GPT-4o,19,NucleiSeg:StarDist → NucleiClassify:NuClass → CodingAgent:GPT-4o Agent,3,0,1,1,0,"classes=Tumor, Negative control",
GPT-4o,20,NucleiSeg:StarDist → NucleiClassify:NuClass → CodingAgent:GPT-4o Agent,3,0,1,1,1,"classes=Tumor, Lymphocyte",
GPT-4o,21,NucleiSeg:StarDist → NucleiClassify:NuClass → CodingAgent:GPT-4o Agent,3,0,1,1,0,"classes=Tumor, Negative control",
GPT-4o,22,NucleiSeg:StarDist → NucleiClassify:NuClass → CodingAgent:GPT-4o Agent,3,0,1,1,0,"classes=Tumor, Negative control",
GPT-4o,23,TissueSeg:MuskEmbedding → TissueClassify:MuskClassification → CodingAgent:GPT-4o Agent,3,1,0,1,1,"classes=Lymph node, Tumor",
GPT-4o,24,NucleiSeg:StarDist → NucleiClassify:NuClass → CodingAgent:GPT-4o Agent,3,0,1,1,0,"classes=Tumor, Negative control",
GPT-4o,25,NucleiSeg:StarDist → NucleiClassify:NuClass → CodingAgent:GPT-4o Agent,3,0,1,1,0,"classes=Tumor, Negative control",
GPT-4o,26,NucleiSeg:StarDist → NucleiClassify:NuClass → CodingAgent:GPT-4o Agent,3,0,1,1,0,"classes=Tumor, Negative control",
GPT-4o,27,NucleiSeg:StarDist → NucleiClassify:NuClass → CodingAgent:GPT-4o Agent,3,0,1,1,0,"classes=Tumor, Negative control",
GPT-4o,28,NucleiSeg:StarDist → NucleiClassify:NuClass → CodingAgent:GPT-4o Agent,3,0,1,1,0,"classes=Tumor, Negative control",
GPT-4o,29,NucleiSeg:StarDist → NucleiClassify:NuClass → CodingAgent:GPT-4o Agent,3,0,1,1,0,"classes=Tumor, Negative control",
GPT-4o,30,NucleiSeg:StarDist → NucleiClassify:NuClass → CodingAgent:GPT-4o Agent,3,0,1,1,0,"classes=Tumor, Negative control",
GPT-4o,31,NucleiSeg:StarDist → NucleiClassify:NuClass → CodingAgent:GPT-4o Agent,3,0,1,1,0,"classes=Tumor, Negative control",
GPT-4o,32,NucleiSeg:StarDist → NucleiClassify:NuClass → CodingAgent:GPT-4o Agent,3,0,1,1,0,"classes=Tumor, Negative control",
GPT-4o,33,NucleiSeg:StarDist → NucleiClassify:NuClass → CodingAgent:GPT-4o Agent,3,0,1,1,0,"classes=Tumor, Negative control",
GPT-4o,34,NucleiSeg:StarDist → NucleiClassify:NuClass → CodingAgent:GPT-4o Agent,3,0,1,1,0,"classes=Tumor, Negative control",
GPT-4o,35,NucleiSeg:StarDist → NucleiClassify:NuClass → CodingAgent:GPT-4o Agent,3,0,1,1,0,"classes=Tumor, Negative control",
GPT-4o,36,NucleiSeg:StarDist → NucleiClassify:NuClass → CodingAgent:GPT-4o Agent,3,0,1,1,0,"classes=Tumor, Negative control",
GPT-4o,37,NucleiSeg:StarDist → NucleiClassify:NuClass → CodingAgent:GPT-4o Agent,3,0,1,1,0,"classes=Tumor, Negative control",
GPT-4o,38,NucleiSeg:StarDist → NucleiClassify:NuClass → CodingAgent:GPT-4o Agent,3,0,1,1,0,"classes=Tumor, Negative control",
GPT-4o,39,NucleiSeg:StarDist → NucleiClassify:NuClass → CodingAgent:GPT-4o Agent,3,0,1,0,0,,
GPT-4o,40,NucleiSeg:StarDist → NucleiClassify:NuClass → CodingAgent:GPT-4o Agent,3,0,1,1,0,"classes=Tumor, Negative control",
GPT-4o,41,NucleiSeg:StarDist → NucleiClassify:NuClass → CodingAgent:GPT-4o Agent,3,0,1,1,0,"classes=Tumor, Negative control",
GPT-4o,42,NucleiSeg:StarDist → NucleiClassify:NuClass → CodingAgent:GPT-4o Agent,3,0,1,1,0,"classes=Tumor,Negative control",
GPT-4o,43,NucleiSeg:StarDist → NucleiClassify:NuClass → CodingAgent:GPT-4o Agent,3,0,1,1,0,"classes=Tumor, Negative control",
GPT-4o,44,NucleiSeg:StarDist → NucleiClassify:NuClass → CodingAgent:GPT-4o Agent,3,0,1,1,0,"classes=Tumor, Negative control",
GPT-4o,45,NucleiSeg:StarDist → NucleiClassify:NuClass → CodingAgent:GPT-4o Agent,3,0,1,1,0,classes=Tumor,
GPT-4o,46,NucleiSeg:StarDist → NucleiClassify:NuClass → CodingAgent:GPT-4o Agent,3,0,1,1,0,"classes=Tumor, Negative control",
GPT-4o,47,NucleiSeg:StarDist → NucleiClassify:NuClass → CodingAgent:GPT-4o Agent,3,0,1,1,0,"classes=Tumor, Negative control",
GPT-4o,48,NucleiSeg:StarDist → NucleiClassify:NuClass → CodingAgent:GPT-4o Agent,3,0,1,1,0,"classes=Tumor, Negative control",
GPT-4o,49,NucleiSeg:StarDist → NucleiClassify:NuClass → CodingAgent:GPT-4o Agent,3,0,1,1,0,"classes=Tumor, Negative control",
GPT-4o,50,NucleiSeg:StarDist → NucleiClassify:NuClass → CodingAgent:GPT-4o Agent,3,0,1,1,0,"classes=Tumor, Negative control",
